Sequence,Endereco,Contato,Observacoes,Responsavel,Latitude,Longitude
15,"R. Manoel Siqueira, 476 - Porto Novo, Cariacica - ES, 29153-604, Brasil",Cariacica,ES,Brazil,-20.3021838,-40.3696978
16,"R. Nilton Balestreiro, 9 - Itacibá, Cariacica - ES, 29150-280, Brasil",Cariacica,ES,Brazil,-20.3223058,-40.3771216
17,"R. Obed Emerich, 149 - Campo Verde, Cariacica - ES, 29155-820, Brasil",Cariacica,ES,Brazil,-20.2931651,-40.4056259
18,"R. Obed Emerich, 225 - Campo Verde, Cariacica - ES, 29155-845, Brasil",Cariacica,ES,Brazil,-20.2896329,-40.4081062
19,"R. Padre Anchieta, 31 - Dom Bosco, Cariacica - ES, 29147-305, Brasil",Cariacica,ES,Brazil,-20.3355993,-40.3923543
20,"R. Padre José Carlos, 64 - Campo Grande, Cariacica - ES, 29146-050, Brasil",Cariacica,ES,Brazil,-20.3399785,-40.3950485
21,"R. Padre Leandro del Homo, 644 - S Francisco, Cariacica - ES, 29145-405, Brasil",Cariacica,ES,Brazil,-20.348545,-40.4081947
22,"R. Paraguai, 46 - Jardim América, Cariacica - ES, 29140-190, Brasil",Cariacica,ES,Brazil,-20.3345621,-40.3705979
23,"R. Paraguai, 57 - Jardim América, Cariacica - ES, 29140-190, Brasil",Cariacica,ES,Brazil,-20.3325959,-40.3655749
24,"R. Paraguai, 58 - Jardim América, Cariacica - ES, 29140-190, Brasil",Cariacica,ES,Brazil,-20.3322068,-40.3659656
25,"R. Paraguai, 60 - Jardim América, Cariacica - ES, 29140-190, Brasil",Cariacica,ES,Brazil,-20.3321848,-40.3660453
26,"R. Paraguai, 63 - Jardim América, Cariacica - ES, 29140-190, Brasil",Cariacica,ES,Brazil,-20.3324306,-40.366125
27,"R. Paraguai, 64 - Jardim América, Cariacica - ES, 29140-190, Brasil",Cariacica,ES,Brazil,-20.3321296,-40.3662445
28,"R. Pedro Nolasco, 39 - Sotema, Cariacica - ES, 29152-010, Brasil",Cariacica,ES,Brazil,-20.3242001,-40.3632659
29,"R. Pres. Getúlio Vargas, 98 - Cariacica Sede, Cariacica - ES, 29156-146, Brasil",Cariacica,ES,Brazil,-20.264734,-40.4214797
30,"R. Pres. Tancredo de Almeida Neves, 710 - Nova Rosa da Penha, Cariacica - ES, 29157-281, Brasil",Cariacica,ES,Brazil,-20.2558987,-40.3844417
31,"R. Pres. Tancredo de Almeida Neves, 718 - Nova Rosa da Penha, Cariacica - ES, 29157-323, Brasil",Cariacica,ES,Brazil,-20.2559412,-40.3844955
32,"R. Principal, 109 - Porto de Santana, Cariacica - ES, 29153-195, Brasil",Cariacica,ES,Brazil,-20.3065291,-40.3706673
33,"R. Principal, 143 - Porto de Santana, Cariacica - ES, 29153-100, Brasil",Cariacica,ES,Brazil,-20.3062406,-40.3705331
34,"R. Principal, 409 - Bro Sesi, Cariacica - ES, 29153-100, Brasil",Cariacica,ES,Brazil,-20.3095176,-40.3713447
35,"R. Principal, 410 - Porto de Santana, Cariacica - ES, 29153-195, Brasil",Cariacica,ES,Brazil,-20.3093503,-40.3716036
36,"R. Principal, 414 - Porto de Santana, Cariacica - ES, 29153-100, Brasil",Cariacica,ES,Brazil,-20.3095942,-40.3713447
37,"R. Principal, 416 - Porto de Santana, Cariacica - ES, 29153-100, Brasil",Cariacica,ES,Brazil,-20.3096951,-40.371693
38,"R. Quatorze, 136 - Nova Rosa da Penha, Cariacica - ES, 29157-412, Brasil",Cariacica,ES,Brazil,-20.2626743,-40.3912474
39,"R. Quintino Bocaiúva, 20 - Centro, Viana - ES, 29130-068, Brasil",Cariacica,ES,Brazil,-20.3909009,-40.4984124
40,"Av. Lopes Loureiro, 86 - Centro, Cariacica - ES, 29156-140, Brasil",Cariacica,ES,Brazil,-20.266235,-40.4199497
41,"R. Quinze de Novembro, 3 - Campo Grande, Cariacica - ES, 29146-270, Brasil",Cariacica,ES,Brazil,-20.343903,-40.3872797
42,"R. Santa Clara, 36 - Cruzeiro do Sul, Cariacica - ES, 29144-761, Brasil",Cariacica,ES,Brazil,-20.347602,-40.3992657
43,"R. Santa Helena, 1 - Vila Bethania, Viana - ES, 29136-013, Brasil",Cariacica,ES,Brazil,-20.3558435,-40.4103281
44,"R. Santa Helena, 74 - Vila Bethania, Viana - ES, 29136-013, Brasil",Cariacica,ES,Brazil,-20.3599338,-40.4078348
45,"R. Santa Helena, 89 - Vila Bethania, Viana - ES, 29136-013, Brasil",Cariacica,ES,Brazil,-20.3594091,-40.4077844
46,"R. Santos Dumont, 577 - Canaã, Viana - ES, 29135-026, Brasil",Cariacica,ES,Brazil,-20.3613035,-40.4419241
47,"Rua Principal, 454 - Rio Marinho, Cariacica - ES, 29142-535, Brasil",Cariacica,ES,Brazil,-20.3788081,-40.3707072
48,"R. Vila Velha, 01 - Itanguá, Cariacica - ES, 29149-460, Brasil",Cariacica,ES,Brazil,-20.3288089,-40.3946867
49,"R. Vinte e Quatro, 033 - Nova Rosa da Penha, Cariacica - ES, 29157-423, Brasil",Cariacica,ES,Brazil,-20.2629009,-40.3874349
50,"R. Vinte e Quatro, 187 - Nova Rosa da Penha, Cariacica - ES, 29157-423, Brasil",Cariacica,ES,Brazil,-20.2618898,-40.3873101
51,"R. Y, 13 - Porto de Cariacica, Cariacica - ES, 29148-660, Brasil",Cariacica,ES,Brazil,-20.2814348,-40.4030113
